alpha,seed,target,cost
0.0,AVDR,SMDDL,0.24472096530920062
0.0,AVDR,SMDVR,0.30354449472096534
0.0,AVDR,AVAL,0.024390243902439025
0.0,AVDR,PVCL,0.06923076923076923
0.0,AVDR,SMBVL,0.4601190476190476
0.0,AVDR,RMGR,0.7358974358974358
0.0,AVDR,PVNR,0.45018315018315014
0.0,AVDR,SMBVR,0.4025641025641026
0.0,AVDR,RMDL,0.3803418803418803
0.0,AVDR,RIH,0.6740287490287491
0.0,AVDR,PVNL,0.7245879120879121
0.0,AVDR,PVR,0.5817307692307693
0.0,AVDR,SMDVL,0.3394053506912604
0.0,AVBR,SMDDR,0.3928571428571428
0.0,AVBR,AVFL,0.9547619047619047
0.0,AVBR,CEPDL,0.7714285714285714
0.0,AVBR,URADL,0.4214285714285714
0.0,AVBR,PVCR,0.12142857142857143
0.0,AVBR,ADEL,0.6668831168831169
0.0,AVBR,RIAR,0.36834733893557425
0.0,AVBR,AVDR,0.20535714285714285
0.0,AVBR,AVG,0.6214285714285714
0.0,AVBR,SMBDR,0.5231092436974789
0.0,AVBR,RMGL,0.6845238095238094
0.0,AVBR,AVAR,0.07142857142857142
0.0,AVBR,VC03,0.5023809523809524
0.0,AVBR,HSNL,0.8714285714285714
0.0,AVBR,HSNR,0.8214285714285714
0.0,AVBR,DVA,0.37142857142857144
0.0,AVBR,RIAL,0.39466312840925843
0.0,AVBR,SMDDL,0.2969187675070028
0.0,AVBR,SMDVR,0.3557422969187675
0.0,AVBR,AVAL,0.1
0.0,AVBR,PVCL,0.12142857142857143
0.0,AVBR,SMBVL,0.5714285714285714
0.0,AVBR,RMGR,0.7880952380952381
0.0,AVBR,PVNR,0.5023809523809524
0.0,AVBR,SMBVR,0.45476190476190476
0.0,AVBR,RMDL,0.4325396825396825
0.0,AVBR,RIH,0.7262265512265512
0.0,AVBR,PVNL,0.7767857142857143
0.0,AVBR,PVR,0.6339285714285714
0.0,AVBR,SMDVL,0.3916031528890626
0.0,AVBL,SMDDR,0.3928571428571428
0.0,AVBL,AVFL,0.9547619047619047
0.0,AVBL,CEPDL,0.7714285714285714
0.0,AVBL,URADL,0.4214285714285714
0.0,AVBL,PVCR,0.12142857142857143
0.0,AVBL,ADEL,0.6668831168831169
0.0,AVBL,RIAR,0.36834733893557425
0.0,AVBL,AVDR,0.20535714285714285
0.0,AVBL,AVG,0.6214285714285714
0.0,AVBL,SMBDR,0.5231092436974789
0.0,AVBL,RMGL,0.6845238095238094
0.0,AVBL,AVAR,0.07142857142857142
0.0,AVBL,VC03,0.3333333333333333
0.0,AVBL,HSNL,0.8714285714285714
0.0,AVBL,HSNR,0.8214285714285714
0.0,AVBL,DVA,0.37142857142857144
0.0,AVBL,RIAL,0.39466312840925843
0.0,AVBL,SMDDL,0.2969187675070028
0.0,AVBL,SMDVR,0.3557422969187675
0.0,AVBL,AVAL,0.1111111111111111
0.0,AVBL,PVCL,0.12142857142857143
0.0,AVBL,SMBVL,0.5714285714285714
0.0,AVBL,RMGR,0.7880952380952381
0.0,AVBL,PVNR,0.3333333333333333
0.0,AVBL,SMBVR,0.45476190476190476
0.0,AVBL,RMDL,0.4325396825396825
0.0,AVBL,RIH,0.7262265512265512
0.0,AVBL,PVNL,0.7767857142857143
0.0,AVBL,PVR,0.6339285714285714
0.0,AVBL,SMDVL,0.3916031528890626
0.0,AVER,SMDDR,0.3517316017316017
0.0,AVER,AVFL,0.9136363636363636
0.0,AVER,CEPDL,0.7303030303030302
0.0,AVER,URADL,0.38030303030303025
0.0,AVER,PVCR,0.0803030303030303
0.0,AVER,ADEL,0.6257575757575757
0.0,AVER,RIAR,0.32722179781003313
0.0,AVER,AVDR,0.16423160173160173
0.0,AVER,AVG,0.5803030303030303
0.0,AVER,SMBDR,0.4819837025719378
0.0,AVER,RMGL,0.6433982683982684
0.0,AVER,AVAR,0.030303030303030304
0.0,AVER,VC03,0.46125541125541125
0.0,AVER,HSNL,0.8303030303030303
0.0,AVER,HSNR,0.7803030303030303
0.0,AVER,DVA,0.3303030303030303
0.0,AVER,RIAL,0.3535375872837173
0.0,AVER,SMDDL,0.2557932263814617
0.0,AVER,SMDVR,0.3146167557932264
0.0,AVER,AVAL,0.07142857142857142
0.0,AVER,PVCL,0.0803030303030303
0.0,AVER,SMBVL,0.5303030303030303
0.0,AVER,RMGR,0.746969696969697
0.0,AVER,PVNR,0.46125541125541125
0.0,AVER,SMBVR,0.41363636363636364
0.0,AVER,RMDL,0.3914141414141414
0.0,AVER,RIH,0.6851010101010101
0.0,AVER,PVNL,0.7356601731601732
0.0,AVER,PVR,0.5928030303030303
0.0,AVER,SMDVL,0.3504776117635215
0.0,AVDL,SMDDR,0.3484555984555985
0.0,AVDL,AVFL,0.9079794079794079
0.0,AVDL,CEPDL,0.7270270270270269
0.0,AVDL,URADL,0.37702702702702706
0.0,AVDL,PVCR,0.07702702702702703
0.0,AVDL,ADEL,0.6224815724815724
0.0,AVDL,RIAR,0.32394579453402983
0.0,AVDL,AVDR,0.16095559845559845
0.0,AVDL,AVG,0.5746460746460746
0.0,AVDL,SMBDR,0.4787076992959346
0.0,AVDL,RMGL,0.6401222651222651
0.0,AVDL,AVAR,0.02702702702702703
0.0,AVDL,VC03,0.45797940797940795
0.0,AVDL,HSNL,0.8246460746460746
0.0,AVDL,HSNR,0.7746460746460746
0.0,AVDL,DVA,0.32464607464607464
0.0,AVDL,RIAL,0.350261584007714
0.0,AVDL,SMDDL,0.2525172231054584
0.0,AVDL,SMDVR,0.3113407525172231
0.0,AVDL,AVAL,0.02702702702702703
0.0,AVDL,PVCL,0.07464607464607464
0.0,AVDL,SMBVL,0.5246460746460746
0.0,AVDL,RMGR,0.7413127413127413
0.0,AVDL,PVNR,0.45797940797940795
0.0,AVDL,SMBVR,0.40797940797940796
0.0,AVDL,RMDL,0.38813813813813813
0.0,AVDL,RIH,0.6794440544440544
0.0,AVDL,PVNL,0.7323841698841699
0.0,AVDL,PVR,0.589527027027027
0.0,AVDL,SMDVL,0.3472016084875182
0.0,RIAL,SMDDR,0.030303030303030304
0.0,RIAL,AVFL,0.8666666666666667
0.0,RIAL,CEPDL,0.5208333333333334
0.0,RIAL,URADL,0.4668831168831169
0.0,RIAL,PVCR,0.28799019607843135
0.0,RIAL,ADEL,0.6625000000000001
0.0,RIAL,RIAR,0.043478260869565216
0.0,RIAL,AVDR,0.36401833460656985
0.0,RIAL,AVG,0.7731092436974789
0.0,RIAL,SMBDR,0.14285714285714285
0.0,RIAL,RMGL,0.4958513708513709
0.0,RIAL,AVAR,0.2543706293706294
0.0,RIAL,VC03,0.6048058221971265
0.0,RIAL,HSNL,0.8791666666666667
0.0,RIAL,HSNR,0.8291666666666666
0.0,RIAL,DVA,0.327994227994228
0.0,RIAL,RIAL,0.0
0.0,RIAL,SMDDL,0.045454545454545456
0.0,RIAL,SMDVR,0.03125
0.0,RIAL,AVAL,0.22549019607843135
0.0,RIAL,PVCL,0.27310924369747897
0.0,RIAL,SMBVL,0.26458333333333334
0.0,RIAL,RMGR,0.5717948717948718
0.0,RIAL,PVNR,0.6048058221971265
0.0,RIAL,SMBVR,0.30006740815638694
0.0,RIAL,RMDL,0.038461538461538464
0.0,RIAL,RIH,0.4097222222222222
0.0,RIAL,PVNL,0.8117424242424244
0.0,RIAL,PVR,0.5069444444444444
0.0,RIAL,SMDVL,0.06673407482305359
0.25,AVAL,SMDDR,0.888209284511013
0.25,AVAL,AVFL,1.23505415450381
0.25,AVAL,CEPDL,1.2827129653923783
0.25,AVAL,URADL,1.2055373487900618
0.25,AVAL,PVCR,0.08677338907633964
0.25,AVAL,ADEL,1.1169765939731846
0.25,AVAL,RIAR,0.707659738962478
0.25,AVAL,AVDR,0.3287534881309357
0.25,AVAL,AVG,0.615247326459059
0.25,AVAL,SMBDR,0.5939597483992874
0.25,AVAL,RMGL,0.9861898938014255
0.25,AVAL,AVAR,0.10853055240434026
0.25,AVAL,VC03,0.589083298944372
0.25,AVAL,HSNL,1.1358481679958379
0.25,AVAL,HSNR,1.0909390022605137
0.25,AVAL,DVA,0.3104597526575332
0.25,AVAL,RIAL,0.48583657845378103
0.25,AVAL,SMDDL,0.5933796860655945
0.25,AVAL,SMDVR,0.6448529195291628
0.25,AVAL,AVAL,0.0
0.25,AVAL,PVCL,0.05505158920916036
0.25,AVAL,SMBVL,0.7282123204795525
0.25,AVAL,RMGR,0.8815070537580789
0.25,AVAL,PVNR,0.6291269137781361
0.25,AVAL,SMBVR,0.4237282657894023
0.25,AVAL,RMDL,0.6246579464787226
0.25,AVAL,RIH,1.2851193586807066
0.25,AVAL,PVNL,1.0082495020711701
0.25,AVAL,PVR,0.7345736702302433
0.25,AVAL,SMDVL,0.873506744208479
0.25,hyp,SMDDR,inf
0.25,hyp,AVFL,inf
0.25,hyp,CEPDL,inf
0.25,hyp,URADL,inf
0.25,hyp,PVCR,inf
0.25,hyp,ADEL,inf
0.25,hyp,RIAR,inf
0.25,hyp,AVDR,inf
0.25,hyp,AVG,inf
0.25,hyp,SMBDR,inf
0.25,hyp,RMGL,inf
0.25,hyp,AVAR,inf
0.25,hyp,VC03,inf
0.25,hyp,HSNL,inf
0.25,hyp,HSNR,inf
0.25,hyp,DVA,inf
0.25,hyp,RIAL,inf
0.25,hyp,SMDDL,inf
0.25,hyp,SMDVR,inf
0.25,hyp,AVAL,inf
0.25,hyp,PVCL,inf
0.25,hyp,SMBVL,inf
0.25,hyp,RMGR,inf
0.25,hyp,PVNR,inf
0.25,hyp,SMBVR,inf
0.25,hyp,RMDL,inf
0.25,hyp,RIH,inf
0.25,hyp,PVNL,inf
0.25,hyp,PVR,inf
0.25,hyp,SMDVL,inf
0.25,AVAR,SMDDR,0.9113385805740144
0.25,AVAR,AVFL,1.2476623375561195
0.25,AVAR,CEPDL,1.295321148444688
0.25,AVAR,URADL,1.1526201668412985
0.25,AVAR,PVCR,0.0616720840906467
0.25,AVAR,ADEL,1.0918752889874916
0.25,AVAR,RIAR,0.7202679220147876
0.25,AVAR,AVDR,0.3124253168836414
0.25,AVAR,AVG,0.6278555095113687
0.25,AVAR,SMBDR,0.606567931451597
0.25,AVAR,RMGL,0.9610885888157326
0.25,AVAR,AVAR,0.0
0.25,AVAR,VC03,0.563981993958679
0.25,AVAR,HSNL,1.1484563510481478
0.25,AVAR,HSNR,1.1035471853128231
0.25,AVAR,DVA,0.3230679357098428
0.25,AVAR,RIAL,0.6390099880009784
0.25,AVAR,SMDDL,0.4848491336612543
0.25,AVAR,SMDVR,0.7980263290763601
0.25,AVAR,AVAL,0.15317340954719738
0.25,AVAR,PVCL,0.06765977226147005
0.25,AVAR,SMBVL,0.7408205035318621
0.25,AVAR,RMGR,0.8941152368103886
0.25,AVAR,PVNR,0.6040256087924433
0.25,AVAR,SMBVR,0.43633644884171197
0.25,AVAR,RMDL,0.77783135602592
0.25,AVAR,RIH,1.1765888062763663
0.25,AVAR,PVNL,1.1614229116183674
0.25,AVAR,PVR,0.7471818532825529
0.25,AVAR,SMDVL,0.9421995530148944
0.25,AVEL,SMDDR,1.0035511650348894
0.25,AVEL,AVFL,1.3503960350276865
0.25,AVEL,CEPDL,1.3513253201200266
0.25,AVEL,URADL,1.3208792293139382
0.25,AVEL,PVCR,0.2021152696002161
0.25,AVEL,ADEL,1.232318474497061
0.25,AVEL,RIAR,0.8230016194863545
0.25,AVEL,AVDR,0.44409536865481214
0.25,AVEL,AVG,0.7305892069829355
0.25,AVEL,SMBDR,0.709301628923164
0.25,AVEL,RMGL,0.6739334060652507
0.25,AVEL,AVAR,0.22387243292821674
0.25,AVEL,VC03,0.7044251794682483
0.25,AVEL,HSNL,1.2511900485197145
0.25,AVEL,HSNR,1.20628088278439
0.25,AVEL,DVA,0.4258016331814096
0.25,AVEL,RIAL,0.6011784589776575
0.25,AVEL,SMDDL,0.708721566589471
0.25,AVEL,SMDVR,0.7601948000530392
0.25,AVEL,AVAL,0.11534188052387648
0.25,AVEL,PVCL,0.17039346973303685
0.25,AVEL,SMBVL,0.8435542010034289
0.25,AVEL,RMGR,0.9968489342819554
0.25,AVEL,PVNR,0.7444687943020127
0.25,AVEL,SMBVR,0.5390701463132788
0.25,AVEL,RMDL,0.7399998270025991
0.25,AVEL,RIH,1.400461239204583
0.25,AVEL,PVNL,1.1235913825950465
0.25,AVEL,PVR,0.8499155507541198
0.25,AVEL,SMDVL,0.9888486247323555
0.25,AVDR,SMDDR,1.1037314298967806
0.25,AVDR,AVFL,1.449510731362838
0.25,AVDR,CEPDL,1.4971695422514064
0.25,AVDR,URADL,1.354468560648017
0.25,AVDR,PVCR,0.263520477897365
0.25,AVDR,ADEL,1.29372368279421
0.25,AVDR,RIAR,0.8500911014997592
0.25,AVDR,AVDR,0.0
0.25,AVDR,AVG,0.8297039033180871
0.25,AVDR,SMBDR,0.8084163252583154
0.25,AVDR,RMGL,0.8719549234192691
0.25,AVDR,AVAR,0.2018483938067183
0.25,AVDR,VC03,0.7658303877653972
0.25,AVDR,HSNL,1.3503047448548662
0.25,AVDR,HSNR,1.3053955791195415
0.25,AVDR,DVA,0.5249163295165611
0.25,AVDR,RIAL,0.7092243576138368
0.25,AVDR,SMDDL,0.6866975274679726
0.25,AVDR,SMDVR,0.8682406986892186
0.25,AVDR,AVAL,0.2233877791600558
0.25,AVDR,PVCL,0.26950816606818834
0.25,AVDR,SMBVL,0.9426688973385804
0.25,AVDR,RMGR,1.095963630617107
0.25,AVDR,PVNR,0.8058740025991615
0.25,AVDR,SMBVR,0.6381848426484302
0.25,AVDR,RMDL,0.8480457256387784
0.25,AVDR,RIH,1.2830660723709437
0.25,AVDR,PVNL,1.231637281231226
0.25,AVDR,PVR,0.9490302470892713
0.25,AVDR,SMDVL,0.9895783568993998
0.25,AVBR,SMDDR,1.0289649559109457
0.25,AVBR,AVFL,1.3720525998234325
0.25,AVBR,CEPDL,1.4225862785760768
0.25,AVBR,URADL,1.2798852969726873
0.25,AVBR,PVCR,0.18893721422203538
0.25,AVBR,ADEL,1.2191404191188804
0.25,AVBR,RIAR,0.8475330521461764
0.25,AVBR,AVDR,0.4396904470150301
0.25,AVBR,AVG,0.7551206396427574
0.25,AVBR,SMBDR,0.7338330615829858
0.25,AVBR,RMGL,1.0883537189471213
0.25,AVBR,AVAR,0.12726513013138868
0.25,AVBR,VC03,0.6912471240900677
0.25,AVBR,HSNL,1.2757214811795365
0.25,AVBR,HSNR,0.9517799133732918
0.25,AVBR,DVA,0.45033306584123156
0.25,AVBR,RIAL,0.6265922498537138
0.25,AVBR,SMDDL,0.612114263792643
0.25,AVBR,SMDVR,0.7856085909290955
0.25,AVBR,AVAL,0.14075567139993267
0.25,AVBR,PVCL,0.19492490239285873
0.25,AVBR,SMBVL,0.8680856336632509
0.25,AVBR,RMGR,1.0213803669417774
0.25,AVBR,PVNR,0.7312907389238319
0.25,AVBR,SMBVR,0.5636015789731007
0.25,AVBR,RMDL,0.7654136178786554
0.25,AVBR,RIH,1.303853936407755
0.25,AVBR,PVNL,1.1490051734711029
0.25,AVBR,PVR,0.8744469834139417
0.25,AVBR,SMDVL,1.0142624156084117
0.25,AVBL,SMDDR,1.0147524302920752
0.25,AVBL,AVFL,1.2287090717768676
0.25,AVBL,CEPDL,1.2945042458718794
0.25,AVBL,URADL,1.2560340165593593
0.25,AVBL,PVCR,0.16508593380870729
0.25,AVBL,ADEL,1.1952891387055522
0.25,AVBL,RIAR,0.8236817717328483
0.25,AVBL,AVDR,0.415839166601702
0.25,AVBL,AVG,0.7312693592294293
0.25,AVBL,SMBDR,0.7099817811696577
0.25,AVBL,RMGL,1.0645024385337931
0.25,AVBL,AVAR,0.1034138497180606
0.25,AVBL,VC03,0.44082096380319025
0.25,AVBL,HSNL,1.2518702007662084
0.25,AVBL,HSNR,1.1013031563930396
0.25,AVBL,DVA,0.42648178542790344
0.25,AVBL,RIAL,0.6144653470602676
0.25,AVBL,SMDDL,0.5882629833793149
0.25,AVBL,SMDVR,0.7734816881356492
0.25,AVBL,AVAL,0.12862876860648656
0.25,AVBL,PVCL,0.17107362197953063
0.25,AVBL,SMBVL,0.8442343532499228
0.25,AVBL,RMGR,0.9975290865284492
0.25,AVBL,PVNR,0.48086457863695453
0.25,AVBL,SMBVR,0.5397502985597726
0.25,AVBL,RMDL,0.7532867150852092
0.25,AVBL,RIH,1.2800026559944269
0.25,AVBL,PVNL,1.1368782706776568
0.25,AVBL,PVR,0.8505957030006136
0.25,AVBL,SMDVL,1.0021355128149656
0.25,AVER,SMDDR,1.1231847767376255
0.25,AVER,AVFL,1.4595085337197307
0.25,AVER,CEPDL,1.0921393264058852
0.25,AVER,URADL,1.3644663630049096
0.25,AVER,PVCR,0.2735182802542578
0.25,AVER,ADEL,1.3037214851511028
0.25,AVER,RIAR,0.9321141181783987
0.25,AVER,AVDR,0.36035042214395097
0.25,AVER,AVG,0.8397017056749798
0.25,AVER,SMBDR,0.8184141276152082
0.25,AVER,RMGL,1.1556076214132547
0.25,AVER,AVAR,0.21184619616361108
0.25,AVER,VC03,0.7758281901222901
0.25,AVER,HSNL,1.360302547211759
0.25,AVER,HSNR,1.3153933814764343
0.25,AVER,DVA,0.5349141318734539
0.25,AVER,RIAL,0.7725018757876202
0.25,AVER,SMDDL,0.6966953298248654
0.25,AVER,SMDVR,0.9315182168630018
0.25,AVER,AVAL,0.28666529733383916
0.25,AVER,PVCL,0.27950596842508113
0.25,AVER,SMBVL,0.9526666996954732
0.25,AVER,RMGR,0.7929581140721673
0.25,AVER,PVNR,0.8158718049560543
0.25,AVER,SMBVR,0.6481826450053231
0.25,AVER,RMDL,0.9113232438125618
0.25,AVER,RIH,1.3884350024399774
0.25,AVER,PVNL,1.2949147994050092
0.25,AVER,PVR,0.959028049446164
0.25,AVER,SMDVL,1.1540457491785054
0.25,AVDL,SMDDR,0.947927625841898
0.25,AVDL,AVFL,1.2947724958346951
0.25,AVDL,CEPDL,1.3424313067232634
0.25,AVDL,URADL,1.2215515678520052
0.25,AVDL,PVCR,0.13060348510135344
0.25,AVDL,ADEL,1.1608066899981984
0.25,AVDL,RIAR,0.767378080293363
0.25,AVDL,AVDR,0.3160712149145173
0.25,AVDL,AVG,0.674965667789944
0.25,AVDL,SMBDR,0.6536780897301724
0.25,AVDL,RMGL,0.8639791605324771
0.25,AVDL,AVAR,0.06893140101070673
0.25,AVDL,VC03,0.6329133949693857
0.25,AVDL,HSNL,1.195566509326723
0.25,AVDL,HSNR,1.1506573435913987
0.25,AVDL,DVA,0.37017809398841817
0.25,AVDL,RIAL,0.5455549197846661
0.25,AVDL,SMDDL,0.5537805346719611
0.25,AVDL,SMDVR,0.7045712608600478
0.25,AVDL,AVAL,0.05971834133088502
0.25,AVDL,PVCL,0.11476993054004539
0.25,AVDL,SMBVL,0.7879306618104375
0.25,AVDL,RMGR,0.941225395088964
0.25,AVDL,PVNR,0.67295700980315
0.25,AVDL,SMBVR,0.4834466071202873
0.25,AVDL,RMDL,0.6843762878096077
0.25,AVDL,RIH,1.245520207287073
0.25,AVDL,PVNL,1.0679678434020552
0.25,AVDL,PVR,0.7942920115611283
0.25,AVDL,SMDVL,0.933225085539364
0.25,RIAL,SMDDR,0.4023727060572319
0.25,RIAL,AVFL,1.7290115482754165
0.25,RIAL,CEPDL,0.9537026003886053
0.25,RIAL,URADL,1.2562506494969552
0.25,RIAL,PVCR,0.6976099675301206
0.25,RIAL,ADEL,1.484152588348734
0.25,RIAL,RIAR,0.5159274661628517
0.25,RIAL,AVDR,0.9395900665847167
0.25,RIAL,AVG,1.22608390491284
0.25,RIAL,SMBDR,0.4913285927221869
0.25,RIAL,RMGL,1.0614669584723524
0.25,RIAL,AVAR,0.7193671308581213
0.25,RIAL,VC03,1.1999198773981528
0.25,RIAL,HSNL,1.7466847464496191
0.25,RIAL,HSNR,1.7017755807142945
0.25,RIAL,DVA,0.8531934889673649
0.25,RIAL,RIAL,0.0
0.25,RIAL,SMDDL,0.41468146775813697
0.25,RIAL,SMDVR,0.1590163410753817
0.25,RIAL,AVAL,0.610836578453781
0.25,RIAL,PVCL,0.6658881676629413
0.25,RIAL,SMBVL,0.8935767878430865
0.25,RIAL,RMGR,1.184004360762688
0.25,RIAL,PVNR,1.2399634922319172
0.25,RIAL,SMBVR,0.8164144058220842
0.25,RIAL,RMDL,0.13882136802494158
0.25,RIAL,RIH,1.4776264269050359
0.25,RIAL,PVNL,1.6190860805249512
0.25,RIAL,PVR,1.2488732915184273
0.25,RIAL,SMDVL,0.3876701657546979
0.5,AVAL,SMDDR,1.2355715992900427
0.5,AVAL,AVFL,1.4300754201736998
0.5,AVAL,CEPDL,1.4330580725008453
0.5,AVAL,URADL,1.2801223166277427
0.5,AVAL,PVCR,0.11104677815267927
0.5,AVAL,ADEL,1.6259986424918238
0.5,AVAL,RIAR,0.8677004303059084
0.5,AVAL,AVDR,0.5189788377337328
0.5,AVAL,AVG,0.6828756052990704
0.5,AVAL,SMBDR,0.7236337825128606
0.5,AVAL,RMGL,1.243213120936184
0.5,AVAL,AVAR,0.13372777147534717
0.5,AVAL,VC03,0.734714216936363
0.5,AVAL,HSNL,1.4740772883726285
0.5,AVAL,HSNR,1.0972219198649424
0.5,AVAL,DVA,0.32330045769601873
0.5,AVAL,RIAL,0.6383398235742287
0.5,AVAL,SMDDL,0.8779358427194245
0.5,AVAL,SMDVR,0.9251225057249921
0.5,AVAL,AVAL,0.0
0.5,AVAL,PVCL,0.062484130799273105
0.5,AVAL,SMBVL,0.9588055933400572
0.5,AVAL,RMGR,1.0487283932304439
0.5,AVAL,PVNR,0.8148014466038914
0.5,AVAL,SMBVR,0.46650415062642364
0.5,AVAL,RMDL,0.8775210211625735
0.5,AVAL,RIH,1.5217952947049787
0.5,AVAL,PVNL,1.0164990041423403
0.5,AVAL,PVR,0.671528292841439
0.5,AVAL,SMDVL,0.999704667064029
0.5,hyp,SMDDR,inf
0.5,hyp,AVFL,inf
0.5,hyp,CEPDL,inf
0.5,hyp,URADL,inf
