seed,layer,new_nodes,cum_covered
AVAL,0,1,1
AVAL,1,44,45
AVAL,2,191,236
AVAL,3,133,369
AVAL,4,29,398
hyp,0,1,1
AVAR,0,1,1
AVAR,1,49,50
AVAR,2,195,245
AVAR,3,136,381
AVAR,4,17,398
AVDR,0,1,1
AVDR,1,31,32
AVDR,2,186,218
AVDR,3,138,356
AVDR,4,41,397
AVDR,5,1,398
AVEL,0,1,1
AVEL,1,24,25
AVEL,2,172,197
AVEL,3,169,366
AVEL,4,31,397
AVEL,5,1,398
